,Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Color,Graphics,Disk_size,Card_desc,Price
1442,"asus vivobook pro 16x laptop, 16"" wquxga 16:10 display, intel core i7-12650h cpu, nvidia geforce rtx 3050 ti, 32gb ram, 1tb ssd, windows 11 home, dialpad, earl grey, n7600ze-eb77",ASUS,16.0,i7,32.0,windows 11,3.5,black,Nvidia,1024,other,122999.18000000001
1443,"asus vivobook flip 14 thin and light 2-in-1 laptop, 14” fhd touch display, amd ryzen 7 5700u, 8gb ram, 512gb ssd, stylus, windows 10 home, fingerprint reader, bespoke black, tm420ua-ds71t",ASUS,14.0,ryzen7,8.0,windows 10,4.4,black,AMD,512,other,52151.18
1444,"15.6"" s15 n2 full hd windows 11 professional slim n light laptop - intel n4020 - 128gb storage, 4gb ram, intel dual-core dedicated num-pad, dual-band wifi, expandable storage",Fusion5,15.6,celeron,4.0,windows 11,3.9,other,Intel,128,Integrated,24599.18
1445,"samsung chromebook 3 xe501c13-k02us, intel dual-core celeron n3060, 11.6"" hd, 4gb ddr3, 32gb emmc, night charcoal",SAMSUNG,11.6,celeron,4.0,chrome_os,4.4,other,Intel,16,Integrated,5574.360000000001
1446,"samsung galaxy book s 13.3"" fhd touchscreen - 256 gb, intel i5 - np767xcm-k01us -mercury gray",SAMSUNG,13.3,i5,8.0,windows 10,4.4,gray,Intel,256,Integrated,63959.18
1447,"bmax 13.3"" windows 10 laptop computer, 8gb ddr4, 128gb storage, celeron cpu up to 2.4ghz, expandable 1tb ssd, 1920 x 1080, hdmi, usb 3.0, wifi, bluetooth",Bmax,13.3,celeron,8.0,windows 10,4.1,other,Other,128,Integrated,16399.18
1448,"samsung new 11.6"" chromebook 3 intel atom x5 e8000 4gb memory 16gb emmc 802.11ac 500c13",SAMSUNG,11.6,i3,4.0,chrome_os,4.6,black,Intel,16,Integrated,5976.16
1449,"samsung chromebook 3 xe501c13-k01us, intel dual-core celeron n3060, 11.6"" hd, 2gb ddr3, 16gb emmc, night charcoal",SAMSUNG,11.6,celeron,2.0,chrome_os,4.4,other,Intel,16,Integrated,5731.8
1450,"2022 newest dell inspiron 15.6"" hd business laptop, intel celeron n4020 processor, 16gb ram, 512gb pcie ssd, webcam, wifi, bluetooth, win10 pro, black",Dell,15.6,celeron,16.0,windows 10,4.2,black,Intel,512,Integrated,41164.0
1451,"dell inspiron 16 plus 7610 laptop, 16.0"" 3k 16:10 display, intel core i7-11800h, 64gb ddr4 ram, 2tb ssd, webcam, backlit keyboard, fingerprint reader, hdmi, wi-fi 6, windows 11 home",Dell,16.0,i7,64.0,windows 11,4.3,blue,Intel,2048,Integrated,123738.0
1452,dell inspiron 13 5000 5310 premium laptop i 13.3 inch full hd+ (300 nits) i 11th gen intel 4-core i5-11320h i 16gb ddr4 512gb ssd i intel iris xe graphics i thunderbolt hdmi backlit wifi6 win10 silver,Dell,13.3,i5,16.0,windows 11,5.0,silver,Intel,512,Integrated,49293.479999999996
1453,"dell inspiron 15 3000 business and student laptop (2021 latest model), 15.6"" hd display, intel n4020 dual-core processor, 16gb ram, 1tb ssd, webcam, hdmi, bluetooth, wi-fi, black, windows 10",Dell,15.6,celeron,16.0,windows 10,4.0,black,Intel,1024,Integrated,45015.54
1454,"dell inspiron 15.6"" laptop, amd ryzen 5 processor (up to 3.5 ghz), amd radeon vega 8 graphics, 8gb ddr4 ram, 256gb pcie ssd, full keyboard, webcam, hdmi, wifi, windows 11 home, carbon black",Dell,15.6,ryzen5,8.0,windows 11,5.0,black,AMD,256,Integrated,44279.18
1455,"asus 2022 newest tuf gaming a15 15.6'' fhd 144hz laptop - amd ryzen 7 -6800h -rtx 3050 ti, ddr5, mux, rgb backlit kb, wifi 6, gray, win 11, w/hdmi (32gb ram",ASUS,15.6,ryzen7,32.0,windows 11,4.6,other,Nvidia,512,Dedicated,87722.78
1456,"2022 newest asus ultra thin light laptop computer, 15.6"" fhd display, intel celeron n4020 (upto 2.8ghz), 4gb ram, 128gb emmc,wifi, backlit keyboard,8-hour battery, microsoft 365, win10 s+hubxcelcable",ASUS,15.6,celeron,4.0,windows 10,4.0,other,Intel,128,other,24518.0
1457,"asus vivobook 15 f515 thin and light laptop, 15.6” fhd display, intel core i3-1005g1 processor, fingerprint reader, backlit keyboard, windows 10 home, slate grey (20gb ram | 1tb ssd)",ASUS,15.6,i3,20.0,windows 10,4.6,other,Intel,1024,other,40999.18
1458,"asus rog zephyrus duo 16 gaming laptop, 16” 165hz rog nebula hdr qhd 16:10 display, nvidia geforce rtx 3080 ti, amd ryzen 9 6900hx, 32gb ddr5, 2tb ssd, windows 11 pro, gx650rx-xs97",ASUS,16.0,ryzen9,32.0,windows 10,4.1,black,Nvidia,2048,other,303318.0
1459,"asus vivobook 15 slim laptop, 15.6 inch fhd display, intel core i5-1240p cpu, intel iris xe graphics, 8gb ram, 512gb ssd, fingerprint sensor, windows 11 home, quiet blue, f1502za-ds52",ASUS,15.6,i5,8.0,windows 11,5.0,blue,Intel,512,Integrated,53295.08
1460,"asus newest flip 2-in-1 14"" fhd touchscreen chromebook laptop, intel core m3-8100y(up to 3.4 ghz), 8gb ram, 320gb space(64gb emmc+256gb card), webcam, wifi, chrome os, silver+jvq mp",ASUS,14.0,i3,8.0,chrome_os,4.5,silver,Intel,320,Integrated,26158.0
1461,"asus rog strix g15 (2021) gaming laptop, 15.6â€  144hz ips type fhd display, nvidia geforce rtx 3050, amd ryzen 7 4800h, 8gb ddr4, 512gb pcie nvme ssd, rgb keyboard, windows 10, g513ic-eb73",ASUS,15.6,ryzen7,8.0,windows 10,4.6,gray,Nvidia,512,Dedicated,94299.18000000001
1462,asus zenbook 14x 14 16:10 oled 2.8k (2880 x 1800) touchscreen slim laptop | core i7-1165g7 | nvidia geforce mx450 | windows 11 pro | backlit kb | harman / kardon | w/hdmi (16gb ram | 1tb pcie ssd),ASUS,14.0,i7,16.0,windows 11,0.0,other,Nvidia,1024,Dedicated,103811.18000000001
1463,"asus laptop l510 ultra thin laptop, 15.6” fhd display, intel celeron n4020 processor, 4gb ram, 64gb storage, windows 10 home in s mode, 1 year microsoft 365, star black, l510ma-dh02",ASUS,15.6,celeron,4.0,windows 10,4.0,black,Intel,64,Integrated,18039.18
1464,"dere laptop windows 10 15.6"" laptop computer with full size keyboard 12gb ddr4, 512gb ssd, intel celeron n5095 cpu, up to 2.9ghz 1920x1080 fhd display 5g wifi usb 3.0 type c mbook m10 laptops black¡­",DERE,15.6,celeron,12.0,windows 10,4.0,black,Intel,512,Integrated,32799.18
1465,samsung notebook 7 15.6” (16gb ram/512gb ssd mx250),SAMSUNG,15.6,i7,16.0,windows 10,4.5,other,Nvidia,512,Integrated,65599.18000000001
